strategy,line_id,n1,n2,n3,n4,n5,mega,main_matches,mega_hit,category
aggressive,1,7,25,34,38,42,21,1,N,0-2 (no Mega)
aggressive,2,6,10,16,22,46,21,0,N,0-2 (no Mega)
aggressive,3,8,15,21,33,43,17,0,N,0-2 (no Mega)
aggressive,4,4,10,15,20,40,19,0,N,0-2 (no Mega)
aggressive,5,5,9,14,34,43,12,0,N,0-2 (no Mega)
aggressive,6,11,15,21,31,41,20,0,N,0-2 (no Mega)
aggressive,7,12,25,30,36,46,7,1,N,0-2 (no Mega)
aggressive,8,11,17,35,39,45,19,1,N,0-2 (no Mega)
aggressive,9,6,12,16,20,44,6,0,N,0-2 (no Mega)
aggressive,10,6,10,17,26,45,7,1,N,0-2 (no Mega)
balanced,1,6,13,18,21,34,19,0,N,0-2 (no Mega)
balanced,2,10,18,21,36,44,21,0,N,0-2 (no Mega)
balanced,3,1,14,24,33,39,7,1,N,0-2 (no Mega)
balanced,4,2,11,20,32,43,9,0,N,0-2 (no Mega)
balanced,5,3,12,23,31,45,22,1,N,0-2 (no Mega)
balanced,6,7,16,25,34,41,18,0,N,0-2 (no Mega)
balanced,7,4,13,19,30,40,12,1,N,0-2 (no Mega)
balanced,8,8,15,26,37,46,14,1,N,0-2 (no Mega)
balanced,9,9,17,28,35,42,10,1,N,0-2 (no Mega)
balanced,10,5,24,32,36,41,25,0,N,0-2 (no Mega)
conservative,1,8,27,33,38,42,5,1,N,0-2 (no Mega)
conservative,2,5,8,21,33,41,11,0,N,0-2 (no Mega)
conservative,3,9,13,23,27,42,13,2,Y,2+Mega
conservative,4,7,12,16,22,35,6,0,N,0-2 (no Mega)
conservative,5,5,9,16,30,43,21,1,N,0-2 (no Mega)
conservative,6,7,13,19,24,37,4,0,N,0-2 (no Mega)
conservative,7,10,18,26,34,43,13,1,Y,1+Mega
conservative,8,8,11,19,33,38,5,0,N,0-2 (no Mega)
conservative,9,14,25,30,36,41,20,1,N,0-2 (no Mega)
conservative,10,10,17,23,29,44,26,1,N,0-2 (no Mega)
