draw_date,strategy,line_id,n1,n2,n3,n4,n5,mega,main_matches,mega_hit,category
2025-10-08,aggressive,1,6,13,18,33,46,19,0,N,0-2 (no Mega)
2025-10-08,aggressive,2,2,12,23,35,45,17,1,N,0-2 (no Mega)
2025-10-08,aggressive,3,4,11,21,34,47,3,0,N,0-2 (no Mega)
2025-10-08,aggressive,4,5,14,22,31,40,26,0,N,0-2 (no Mega)
2025-10-08,aggressive,5,7,15,25,36,43,9,1,N,0-2 (no Mega)
2025-10-08,aggressive,6,8,16,24,30,41,22,1,N,0-2 (no Mega)
2025-10-08,aggressive,7,3,17,26,32,44,12,1,N,0-2 (no Mega)
2025-10-08,aggressive,8,9,18,27,37,42,14,1,N,0-2 (no Mega)
2025-10-08,aggressive,9,1,10,20,28,38,8,0,N,0-2 (no Mega)
2025-10-08,aggressive,10,2,13,19,29,39,25,0,N,0-2 (no Mega)
2025-10-08,balanced,1,3,11,20,32,41,15,0,N,0-2 (no Mega)
2025-10-08,balanced,2,5,12,23,30,42,18,0,N,0-2 (no Mega)
2025-10-08,balanced,3,7,14,21,33,44,6,0,N,0-2 (no Mega)
2025-10-08,balanced,4,8,15,22,35,46,20,1,N,0-2 (no Mega)
2025-10-08,balanced,5,2,13,19,31,47,23,0,N,0-2 (no Mega)
2025-10-08,balanced,6,6,10,24,34,45,7,0,N,0-2 (no Mega)
2025-10-08,balanced,7,4,17,26,37,43,13,2,N,0-2 (no Mega)
2025-10-08,balanced,8,9,18,25,36,40,27,0,N,0-2 (no Mega)
2025-10-08,balanced,9,1,16,28,33,42,9,1,N,0-2 (no Mega)
2025-10-08,balanced,10,2,11,29,38,46,11,0,N,0-2 (no Mega)
2025-10-08,conservative,1,4,8,16,27,39,2,2,Y,2+Mega
2025-10-08,conservative,2,6,10,19,32,43,4,1,N,0-2 (no Mega)
2025-10-08,conservative,3,3,9,21,30,40,10,0,N,0-2 (no Mega)
2025-10-08,conservative,4,5,12,20,34,45,14,0,N,0-2 (no Mega)
2025-10-08,conservative,5,7,13,23,36,46,19,0,N,0-2 (no Mega)
2025-10-08,conservative,6,8,15,22,31,42,24,0,N,0-2 (no Mega)
2025-10-08,conservative,7,2,11,24,33,47,17,0,N,0-2 (no Mega)
2025-10-08,conservative,8,9,14,25,35,41,8,1,N,0-2 (no Mega)
2025-10-08,conservative,9,1,17,26,37,44,21,1,N,0-2 (no Mega)
2025-10-08,conservative,10,3,10,28,29,45,25,0,N,0-2 (no Mega)
