draw_date,win_n1,win_n2,win_n3,win_n4,win_n5,win_mega,strategy,line_id,n1,n2,n3,n4,n5,mega,main_matches,mega_hit,matched_mains,category
2026-01-28,3,6,14,26,38,2,aggressive,1,4,8,16,39,47,5,0,False,,0
2026-01-28,3,6,14,26,38,2,aggressive,2,2,3,5,9,12,20,1,False,3,1
2026-01-28,3,6,14,26,38,2,aggressive,3,1,4,34,40,41,1,0,False,,0
2026-01-28,3,6,14,26,38,2,aggressive,4,6,7,10,27,35,23,1,False,6,1
2026-01-28,3,6,14,26,38,2,aggressive,5,3,18,30,40,44,25,1,False,3,1
2026-01-28,3,6,14,26,38,2,aggressive,6,10,13,27,32,37,27,0,False,,0
2026-01-28,3,6,14,26,38,2,aggressive,7,8,36,42,44,47,26,0,False,,0
2026-01-28,3,6,14,26,38,2,aggressive,8,5,6,41,43,44,4,1,False,6,1
2026-01-28,3,6,14,26,38,2,aggressive,9,5,7,39,44,46,27,0,False,,0
2026-01-28,3,6,14,26,38,2,aggressive,10,2,25,38,44,47,26,1,False,38,1
2026-01-28,3,6,14,26,38,2,balanced,1,23,24,27,28,31,17,0,False,,0
2026-01-28,3,6,14,26,38,2,balanced,2,13,22,29,33,34,13,0,False,,0
2026-01-28,3,6,14,26,38,2,balanced,3,14,16,25,31,35,4,1,False,14,1
2026-01-28,3,6,14,26,38,2,balanced,4,6,19,25,28,32,6,1,False,6,1
2026-01-28,3,6,14,26,38,2,balanced,5,5,12,19,26,27,18,1,False,26,1
2026-01-28,3,6,14,26,38,2,balanced,6,19,23,25,27,33,13,0,False,,0
2026-01-28,3,6,14,26,38,2,balanced,7,16,26,29,33,39,16,1,False,26,1
2026-01-28,3,6,14,26,38,2,balanced,8,18,19,32,36,44,18,0,False,,0
2026-01-28,3,6,14,26,38,2,balanced,9,8,13,16,17,30,15,0,False,,0
2026-01-28,3,6,14,26,38,2,balanced,10,9,14,15,21,23,23,1,False,14,1
2026-01-28,3,6,14,26,38,2,conservative,1,14,16,17,28,40,5,1,False,14,1
2026-01-28,3,6,14,26,38,2,conservative,2,5,6,18,25,37,2,1,True,6,1+Mega
2026-01-28,3,6,14,26,38,2,conservative,3,10,18,36,39,43,19,0,False,,0
2026-01-28,3,6,14,26,38,2,conservative,4,4,17,31,35,37,17,0,False,,0
2026-01-28,3,6,14,26,38,2,conservative,5,7,8,22,27,29,16,0,False,,0
2026-01-28,3,6,14,26,38,2,conservative,6,7,14,32,33,37,17,1,False,14,1
2026-01-28,3,6,14,26,38,2,conservative,7,8,9,14,42,43,8,1,False,14,1
2026-01-28,3,6,14,26,38,2,conservative,8,10,11,21,26,47,22,1,False,26,1
2026-01-28,3,6,14,26,38,2,conservative,9,3,25,26,41,43,19,2,False,3 26,2
2026-01-28,3,6,14,26,38,2,conservative,10,24,27,33,39,42,10,0,False,,0
