draw_date,win_n1,win_n2,win_n3,win_n4,win_n5,win_mega,bundle_id,strategy,line_id,n1,n2,n3,n4,n5,mega,main_matches,mega_hit,category,matched_nums
2026-02-04,2,15,17,22,38,18,20260201_000000Z,aggressive,1,4,5,6,15,16,14,1,N,1,15
2026-02-04,2,15,17,22,38,18,20260201_000000Z,aggressive,2,5,6,14,40,42,24,0,N,0,
2026-02-04,2,15,17,22,38,18,20260201_000000Z,aggressive,3,4,6,13,14,17,23,1,N,1,17
2026-02-04,2,15,17,22,38,18,20260201_000000Z,aggressive,4,13,14,15,40,41,4,1,N,1,15
2026-02-04,2,15,17,22,38,18,20260201_000000Z,aggressive,5,6,13,15,18,33,24,1,N,1,15
2026-02-04,2,15,17,22,38,18,20260201_000000Z,aggressive,6,16,18,40,41,42,24,0,N,0,
2026-02-04,2,15,17,22,38,18,20260201_000000Z,aggressive,7,6,7,16,17,18,14,1,N,1,17
2026-02-04,2,15,17,22,38,18,20260201_000000Z,aggressive,8,2,5,14,15,33,13,2,N,2,02 15
2026-02-04,2,15,17,22,38,18,20260201_000000Z,aggressive,9,13,16,17,32,40,23,1,N,1,17
2026-02-04,2,15,17,22,38,18,20260201_000000Z,aggressive,10,15,17,18,21,40,14,2,N,2,15 17
2026-02-04,2,15,17,22,38,18,20260201_000000Z,balanced,1,3,6,21,32,40,14,0,N,0,
2026-02-04,2,15,17,22,38,18,20260201_000000Z,balanced,2,2,3,4,5,40,25,1,N,1,02
2026-02-04,2,15,17,22,38,18,20260201_000000Z,balanced,3,14,17,20,21,33,13,1,N,1,17
2026-02-04,2,15,17,22,38,18,20260201_000000Z,balanced,4,6,7,21,22,33,14,1,N,1,22
2026-02-04,2,15,17,22,38,18,20260201_000000Z,balanced,5,13,18,20,21,32,24,0,N,0,
2026-02-04,2,15,17,22,38,18,20260201_000000Z,balanced,6,2,4,14,20,32,3,1,N,1,02
2026-02-04,2,15,17,22,38,18,20260201_000000Z,balanced,7,6,41,42,43,44,16,0,N,0,
2026-02-04,2,15,17,22,38,18,20260201_000000Z,balanced,8,15,17,38,42,44,25,3,N,3,15 17 38
2026-02-04,2,15,17,22,38,18,20260201_000000Z,balanced,9,12,33,39,40,43,13,0,N,0,
2026-02-04,2,15,17,22,38,18,20260201_000000Z,balanced,10,14,18,39,41,44,13,0,N,0,
2026-02-04,2,15,17,22,38,18,20260201_000000Z,conservative,1,12,13,16,21,22,3,1,N,1,22
2026-02-04,2,15,17,22,38,18,20260201_000000Z,conservative,2,20,22,33,38,40,24,2,N,2,22 38
2026-02-04,2,15,17,22,38,18,20260201_000000Z,conservative,3,6,9,10,22,32,12,1,N,1,22
2026-02-04,2,15,17,22,38,18,20260201_000000Z,conservative,4,16,23,32,33,34,13,0,N,0,
2026-02-04,2,15,17,22,38,18,20260201_000000Z,conservative,5,10,12,13,19,31,25,0,N,0,
2026-02-04,2,15,17,22,38,18,20260201_000000Z,conservative,6,3,6,10,12,23,18,0,Y,Mega-only,
2026-02-04,2,15,17,22,38,18,20260201_000000Z,conservative,7,1,3,5,17,22,23,2,N,2,17 22
2026-02-04,2,15,17,22,38,18,20260201_000000Z,conservative,8,15,19,21,23,31,26,1,N,1,15
2026-02-04,2,15,17,22,38,18,20260201_000000Z,conservative,9,6,9,12,19,20,17,0,N,0,
2026-02-04,2,15,17,22,38,18,20260201_000000Z,conservative,10,15,19,39,43,44,25,1,N,1,15
