score_id,bundle_id,bundle_size,model_version,draw_date,draw_id,strategy,line_id,n1,n2,n3,n4,n5,mega,matched_mains,main_match_count,mega_hit,official_prize_category
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,aggressive,1,19,22,24,34,41,13,,0,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,aggressive,2,3,18,23,28,33,6,3,1,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,aggressive,3,2,16,31,33,47,21,2,1,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,aggressive,4,4,13,18,30,37,3,37,1,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,aggressive,5,2,9,10,19,32,2,2 10,2,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,balanced,1,15,33,40,43,45,11,,0,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,balanced,2,13,14,24,27,47,8,27,1,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,conservative,1,5,19,23,42,44,7,,0,yes,Mega only
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,conservative,2,18,19,35,36,43,22,,0,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,conservative,3,8,24,42,45,46,15,,0,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,conservative,4,5,32,33,38,46,1,,0,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,conservative,5,2,12,26,29,42,5,2,1,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,aggressive,6,20,34,35,40,44,17,,0,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,conservative,6,6,8,12,27,34,27,27,1,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,balanced,3,2,8,14,21,23,12,2,1,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,balanced,4,7,16,17,21,35,8,,0,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,conservative,7,1,5,11,27,37,6,27 37,2,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,balanced,5,1,4,7,8,31,1,,0,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,balanced,6,9,13,17,29,34,11,,0,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,aggressive,7,15,22,27,36,39,1,27,1,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,aggressive,8,14,28,29,44,46,4,,0,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,conservative,8,1,13,16,38,41,4,,0,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,balanced,7,2,24,30,36,40,4,2,1,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,aggressive,9,1,14,34,39,45,25,,0,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,aggressive,10,12,18,31,39,40,20,,0,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,conservative,9,11,14,25,31,41,17,,0,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,balanced,8,14,17,18,22,42,24,,0,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,balanced,9,4,21,27,38,44,20,27,1,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,balanced,10,3,4,34,42,43,18,3,1,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,conservative,10,3,10,30,31,38,19,3 10,2,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,balanced,11,7,10,20,27,29,16,10 27,2,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,balanced,12,5,7,24,26,39,17,,0,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,balanced,13,12,20,37,41,45,21,37,1,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,balanced,14,6,16,22,32,40,12,,0,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,aggressive,11,11,12,22,28,30,15,,0,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,aggressive,12,5,6,10,13,43,20,10,1,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,aggressive,13,17,28,38,39,43,9,,0,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,aggressive,14,25,28,32,35,47,18,,0,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,aggressive,15,3,6,21,37,47,22,3 37,2,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,balanced,15,11,13,21,32,45,13,,0,no,No prize
score-2026-07-18-ff12629de997e3c4,slp-2026-07-18-v6-1b2ab3a08f1855e3,60,slp-robust-fair-coverage-v5,2026-07-18,4100,conservative,11,20,22,26,43,47,23,,0,no,No prize
