score_id,bundle_id,bundle_size,model_version,draw_date,draw_id,strategy,line_id,n1,n2,n3,n4,n5,mega,matched_mains,main_match_count,mega_hit,official_prize_category
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,aggressive,1,11,13,27,36,45,2,,0,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,conservative,1,7,15,26,29,40,4,29,1,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,aggressive,2,8,18,19,21,43,27,,0,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,balanced,1,16,32,34,41,46,17,16,1,yes,1+Mega
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,aggressive,3,7,21,36,37,42,13,,0,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,conservative,2,3,4,13,29,44,8,29,1,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,balanced,2,2,12,13,20,28,20,,0,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,aggressive,4,15,22,37,41,47,2,,0,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,conservative,3,12,24,25,43,46,11,,0,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,aggressive,5,1,3,18,26,39,1,,0,no,No prize
