score_id,bundle_id,bundle_size,model_version,draw_date,draw_id,strategy,line_id,n1,n2,n3,n4,n5,mega,matched_mains,main_match_count,mega_hit,official_prize_category
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,aggressive,1,18,24,25,37,43,3,,0,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,aggressive,2,3,4,28,30,36,7,3 28,2,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,aggressive,3,5,14,19,34,37,27,34,1,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,aggressive,4,15,18,33,45,46,4,,0,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,aggressive,5,16,21,25,26,41,20,,0,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,aggressive,6,13,22,29,42,43,6,29,1,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,balanced,1,15,38,39,40,47,18,,0,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,balanced,2,2,3,7,18,29,2,3 29,2,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,balanced,3,5,7,33,41,44,9,,0,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,balanced,4,1,17,19,38,41,23,,0,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,aggressive,7,13,15,19,25,36,2,,0,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,aggressive,8,14,27,33,36,40,11,27,1,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,aggressive,9,6,23,29,39,45,17,29,1,no,No prize
