score_id,bundle_id,bundle_size,model_version,draw_date,draw_id,strategy,line_id,n1,n2,n3,n4,n5,mega,matched_mains,main_match_count,mega_hit,official_prize_category
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,balanced,1,2,26,31,36,44,2,2,1,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,balanced,2,4,10,17,25,46,7,4,1,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,conservative,1,1,7,19,28,41,22,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,aggressive,1,18,22,25,29,45,22,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,aggressive,2,14,26,35,38,41,8,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,conservative,2,12,19,34,37,39,15,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,balanced,3,5,16,23,42,44,12,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,aggressive,3,6,10,15,30,35,19,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,conservative,3,8,31,40,42,46,13,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,aggressive,4,8,14,30,39,47,6,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,conservative,4,13,21,23,34,38,11,13,1,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,aggressive,5,11,24,36,40,41,25,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,balanced,4,3,25,32,33,36,19,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,aggressive,6,11,12,21,45,46,18,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,conservative,5,2,16,28,38,47,1,2,1,no,No prize
